resp_id,survey_location,period,post,treated,did,monthly_transport_exp,ticket_expenditure,gender,female,age,profession,trip_purpose,mode,trip_dist_km,trip_time_min,trip_fare,trips_per_week,wait_min,access_dist_m,n_2w,n_4w,n_cycle,hh_motor_vehicles,income_imputed,vi_income,vi_no_vehicle,vi_elderly,brt_experience,employed,VI,VI_did
477,14. Municipal Corporation,0,0,0,0,0.0,0.0,Male,0,45,Private salaried job,Work,Bicycle,15.0,60,0,6,0,0,0,0,1,0,22000,0.3902286740029658,1,0,Yes,1,0.4634095580009886,0.0
477,14. Municipal Corporation,1,1,0,0,4.2790321368135,0.0,Male,0,45,Private salaried job,Work,Bicycle,15.0,60,0,6,0,0,0,0,1,0,22000,0.3902286740029658,1,0,Yes,1,0.4634095580009886,0.0
478,13. Mudhal Bypass,0,0,0,0,129.9,0.0,Female,1,50,Homemaker,Shopping,Shared E-Rickshaw,1.0,10,10,3,5,100,1,0,1,1,0,1.0,0,0,No,0,0.3333333333333333,0.0
478,13. Mudhal Bypass,1,1,0,0,136.0098754703663,0.0,Female,1,50,Homemaker,Shopping,Shared E-Rickshaw,1.0,10,10,3,5,100,1,0,1,1,0,1.0,0,0,No,0,0.3333333333333333,0.0
479,32. Railway Station,0,0,0,0,86.6,0.0,Male,0,70,Self-employed,Work,Shared E-Rickshaw,1.0,10,10,2,0,0,1,0,1,1,17914,0.5496761102005776,0,1,No,1,0.5165587034001925,0.0
479,32. Railway Station,1,1,0,0,92.94629117418262,0.0,Male,0,70,Self-employed,Work,Shared E-Rickshaw,1.0,10,10,2,0,0,1,0,1,1,17914,0.5496761102005776,0,1,No,1,0.5165587034001925,0.0
480,26. Guru Harkrishan School,0,0,0,0,519.6,0.0,Male,0,55,Self-employed,Work,Shared E-Rickshaw,1.5,10,20,6,0,0,0,0,0,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
480,26. Guru Harkrishan School,1,1,0,0,523.7181089658558,0.0,Male,0,55,Self-employed,Work,Shared E-Rickshaw,1.5,10,20,6,0,0,0,0,0,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
481,Majitha_Road,0,0,0,0,779.4,0.0,Female,1,22,Self-employed,Work,Shared E-Rickshaw,2.0,15,30,6,5,100,0,0,0,0,6374,1.0,1,0,No,1,0.6666666666666666,0.0
481,Majitha_Road,1,1,0,0,783.487831094287,0.0,Female,1,22,Self-employed,Work,Shared E-Rickshaw,2.0,15,30,6,5,100,0,0,0,0,6374,1.0,1,0,No,1,0.6666666666666666,0.0
482,24. GNDU,0,0,0,0,259.8,0.0,Female,1,22,Student,Education,Shared E-Rickshaw,2.0,15,20,3,0,50,1,1,1,2,0,1.0,0,0,No,0,0.3333333333333333,0.0
482,24. GNDU,1,1,0,0,261.9762852669696,0.0,Female,1,22,Student,Education,Shared E-Rickshaw,2.0,15,20,3,0,50,1,1,1,2,0,1.0,0,0,No,0,0.3333333333333333,0.0
483,8. Hall Gate,0,0,0,0,259.8,0.0,Female,1,23,Private salaried job,Work,Shared E-Rickshaw,2.0,7,10,6,0,0,1,0,0,1,17000,0.5853430110044486,0,0,Yes,1,0.1951143370014828,0.0
483,8. Hall Gate,1,1,0,0,265.6830624840901,0.0,Female,1,23,Private salaried job,Work,Shared E-Rickshaw,2.0,7,10,6,0,0,1,0,0,1,17000,0.5853430110044486,0,0,Yes,1,0.1951143370014828,0.0
484,7. Guru Ram Das Charitable Hospital,0,0,0,0,303.1,0.0,Male,0,25,Self-employed,Work,Shared E-Rickshaw,2.0,15,10,7,0,0,0,0,0,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
484,7. Guru Ram Das Charitable Hospital,1,1,0,0,306.2704091131724,0.0,Male,0,25,Self-employed,Work,Shared E-Rickshaw,2.0,15,10,7,0,0,0,0,0,0,17914,0.5496761102005776,1,0,No,1,0.5165587034001925,0.0
485,7. Guru Ram Das Charitable Hospital,0,0,0,0,259.8,0.0,Male,0,25,Self-employed,Work,Shared E-Rickshaw,2.0,10,10,6,2,0,1,0,0,1,17914,0.5496761102005776,0,0,No,1,0.1832253700668592,0.0
485,7. Guru Ram Das Charitable Hospital,1,1,0,0,260.16059834277365,0.0,Male,0,25,Self-employed,Work,Shared E-Rickshaw,2.0,10,10,6,2,0,1,0,0,1,17914,0.5496761102005776,0,0,No,1,0.1832253700668592,0.0
486,26. Guru Harkrishan School,0,0,0,0,519.6,0.0,Male,0,26,Private salaried job,Work,Shared E-Rickshaw,2.0,8,20,6,3,0,2,1,0,3,22000,0.3902286740029658,0,0,Yes,1,0.1300762246676552,0.0
486,26. Guru Harkrishan School,1,1,0,0,523.7840004415687,0.0,Male,0,26,Private salaried job,Work,Shared E-Rickshaw,2.0,8,20,6,3,0,2,1,0,3,22000,0.3902286740029658,0,0,Yes,1,0.1300762246676552,0.0
487,19. Sultanwind,0,0,0,0,303.1,0.0,Male,0,28,Private salaried job,Work,Shared E-Rickshaw,2.0,15,10,7,2,0,0,0,0,0,22000,0.3902286740029658,1,0,Yes,1,0.4634095580009886,0.0
487,19. Sultanwind,1,1,0,0,307.8413267509017,0.0,Male,0,28,Private salaried job,Work,Shared E-Rickshaw,2.0,15,10,7,2,0,0,0,0,0,22000,0.3902286740029658,1,0,Yes,1,0.4634095580009886,0.0
488,27. Hussainpura Chowk,0,0,0,0,606.2,0.0,Male,0,30,Private salaried job,Work,Shared E-Rickshaw,2.0,20,20,7,10,2000,1,0,1,1,22000,0.3902286740029658,0,0,No,1,0.1300762246676552,0.0
488,27. Hussainpura Chowk,1,1,0,0,608.4559286820421,0.0,Male,0,30,Private salaried job,Work,Shared E-Rickshaw,2.0,20,20,7,10,2000,1,0,1,1,22000,0.3902286740029658,0,0,No,1,0.1300762246676552,0.0
489,Majitha_Road,0,0,0,0,259.8,0.0,Male,0,30,Private salaried job,Work,Shared E-Rickshaw,2.0,10,20,3,5,50,1,1,0,2,22000,0.3902286740029658,0,0,No,1,0.1300762246676552,0.0
489,Majitha_Road,1,1,0,0,265.5245793312212,0.0,Male,0,30,Private salaried job,Work,Shared E-Rickshaw,2.0,10,20,3,5,50,1,1,0,2,22000,0.3902286740029658,0,0,No,1,0.1300762246676552,0.0
490,Chattarwind_Gate,0,0,1,0,43.3,0.0,Female,1,30,Homemaker,Religious,Shared E-Rickshaw,2.0,10,10,1,5,50,2,0,0,2,0,1.0,0,0,No,0,0.3333333333333333,0.0
